,city,year,population
0,Tunja,1970,0
1,Tunja,1971,0
2,Tunja,1972,0
3,Tunja,1973,0
4,Tunja,1974,0
5,Tunja,1975,0
6,Tunja,1976,0
7,Tunja,1977,0
8,Tunja,1978,0
9,Tunja,1979,0
10,Tunja,1980,0
11,Tunja,1981,0
12,Tunja,1982,0
13,Tunja,1983,0
14,Tunja,1984,0
15,Tunja,1985,0
16,Tunja,1986,0
17,Tunja,1987,0
18,Tunja,1988,0
19,Tunja,1989,0
20,Tunja,1990,0
21,Tunja,1991,0
22,Tunja,1992,0
23,Tunja,1993,0
24,Tunja,1994,0
25,Tunja,1995,0
26,Tunja,1996,0
27,Tunja,1997,0
28,Tunja,1998,0
29,Tunja,1999,0
30,Tunja,2000,0
31,Tunja,2001,0
32,Tunja,2002,0
33,Tunja,2003,0
34,Tunja,2004,0
35,Tunja,2005,0
36,Tunja,2006,0
37,Tunja,2007,0
38,Tunja,2008,0
39,Tunja,2009,0
40,Tunja,2010,0
41,Tunja,2011,0
42,Tunja,2012,0
43,Tunja,2013,0
44,Tunja,2014,0
45,Tunja,2015,0
46,Tunja,2016,0
47,Tunja,2017,0
48,Tunja,2018,0
49,Tunja,2019,0
50,Timidaouen,1970,0
51,Timidaouen,1971,0
52,Timidaouen,1972,0
53,Timidaouen,1973,0
54,Timidaouen,1974,0
55,Timidaouen,1975,0
56,Timidaouen,1976,0
57,Timidaouen,1977,0
58,Timidaouen,1978,0
59,Timidaouen,1979,0
60,Timidaouen,1980,0
61,Timidaouen,1981,0
62,Timidaouen,1982,0
63,Timidaouen,1983,0
64,Timidaouen,1984,0
65,Timidaouen,1985,0
66,Timidaouen,1986,0
67,Timidaouen,1987,0
68,Timidaouen,1988,0
69,Timidaouen,1989,0
70,Timidaouen,1990,0
71,Timidaouen,1991,0
72,Timidaouen,1992,0
73,Timidaouen,1993,0
74,Timidaouen,1994,0
75,Timidaouen,1995,0
76,Timidaouen,1996,0
77,Timidaouen,1997,0
78,Timidaouen,1998,0
79,Timidaouen,1999,0
80,Timidaouen,2000,0
81,Timidaouen,2001,0
82,Timidaouen,2002,0
83,Timidaouen,2003,0
84,Timidaouen,2004,0
85,Timidaouen,2005,0
86,Timidaouen,2006,0
87,Timidaouen,2007,0
88,Timidaouen,2008,0
89,Timidaouen,2009,0
90,Timidaouen,2010,0
91,Timidaouen,2011,0
92,Timidaouen,2012,0
93,Timidaouen,2013,0
94,Timidaouen,2014,0
95,Timidaouen,2015,0
96,Timidaouen,2016,0
97,Timidaouen,2017,0
98,Timidaouen,2018,0
99,Timidaouen,2019,0
100,Savsat district,1970,0
101,Savsat district,1971,0
102,Savsat district,1972,0
103,Savsat district,1973,0
104,Savsat district,1974,0
